Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,D
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-786.8663
1,0.51668143,-1,-0.92552215,-0.20139627,-0.82466525,-0.69843936,-0.6003178,0.64257765,0.74863076,-0.7257488,-0.94995207,0.27801904,0.94463384,0.6978721,-0.7557718,0.685495,1,-1172.5636
2,0.93482816,0.77353764,0.15836608,0.666739,-0.88469136,-0.1558792,0.6535461,0.8606427,-0.58073854,-0.8259865,0.9202399,0.8008014,-0.60759246,0.8635355,-0.5155608,0.39627337,0.20530796,-688.3091
3,-0.95858777,-0.62882173,0.46948206,-0.9804882,0.65865624,-0.64926636,-0.16058975,0.97213185,-0.6081642,0.9319849,0.65870655,0.670354,-0.42731243,0.009316206,0.24632204,0.9171454,0.040739417,-493.8734
4,-0.63379365,0.7823311,0.7673824,0.2946596,0.89080846,0.26962876,-0.062038183,-0.39267564,-0.63308394,0.667848,0.12928176,-0.2559054,0.29408133,0.373505,0.27502012,-0.9661461,0.47233963,-1216.2212
5,-0.46052438,-0.3282665,0.5930599,0.9164127,-0.3361233,-0.43532157,-0.35863036,-0.07682294,-0.57876706,0.39948332,-0.3328002,0.31833005,0.5905491,-0.8430586,0.38906825,-0.63957083,-0.25297344,-336.5158
6,-0.46049768,-0.3287156,0.5934232,0.91706,-0.33590892,-0.43503302,-0.35821325,-0.0769058,-0.5788375,0.40085143,-0.33334613,0.31787366,0.59127635,-0.8476807,0.38745832,-0.6400118,-0.25592536,-564.9421
7,0.3751452,0.18302548,-0.43493783,0.27486265,0.013073206,-0.95081365,-0.26356506,-0.49504638,-0.776468,0.23338819,-0.06207925,0.6133702,-0.9973389,0.19716883,-0.14224541,-0.95513177,0.99672055,-1157.5986
8,0.42238593,0.8777181,-0.9657754,0.8306736,0.93507886,0.9584156,-0.49475986,0.01344645,-0.6083939,-0.49147797,-0.744446,-0.51024073,0.77688825,0.8275629,-0.2008428,-0.7314912,0.6269181,-1327.9794
9,0.12373483,0.8984256,-0.43467999,-0.21273851,-0.16911662,-0.29057068,0.85621226,0.5935435,0.30373228,-0.60258645,-0.55964494,0.57999694,0.39687765,-0.067266524,0.58679175,-0.48609024,-0.34405643,-184.6583
10,0.28261054,0.45730805,0.81505907,0.7104374,0.85687137,0.46237695,-0.9115255,0.67988384,-0.22343028,-0.77883327,0.40139616,0.87610996,0.8704246,0.75137305,0.78376544,0.07115567,-0.58837193,-92.32
11,-0.2194742,0.5285697,0.41229796,-0.49265766,-0.8532649,0.32534695,-0.7238047,0.2709713,0.68996835,0.74818444,0.7524128,0.10493117,0.6260258,-0.16785163,-0.20586461,-0.15553457,0.33800727,-1171.2842
12,-0.8026762,-0.079601765,0.15476477,-0.49233115,0.5850656,-0.22906417,-0.032046497,-0.9547374,-0.0056015253,0.28169036,0.020792723,0.3582399,0.9696841,0.19923997,0.19652128,-0.2288791,-0.20734179,-368.127
13,0.41662943,-0.2980773,-0.19456792,-0.04071313,0.54748845,0.37587687,0.18366574,-0.2370866,0.7378224,-0.92290926,0.5735303,-0.72936225,0.18820894,-0.23785722,-0.9541615,-0.68688536,-0.5609974,-109.8147
14,0.21867454,-0.22419488,0.6489078,-0.32933575,0.8766359,-0.3728348,0.67776704,0.08496034,0.09669697,0.49010563,-0.09761441,-0.5137671,0.11167693,-0.93605566,0.14934385,-0.3796059,-0.4572016,-158.3743
15,-0.382492,-0.064415514,0.96634257,0.39678454,0.27833772,0.2021774,-0.9415876,0.18777394,0.29388452,0.6895211,0.6681715,-0.3654586,-0.20031166,0.639567,-0.09672791,-0.82649136,0.56183505,-1453.9735
16,0.62173045,0.561133,0.86072147,-0.1598321,0.7885202,0.48476776,0.68697053,-0.35967126,0.43801168,-0.8527253,0.37315464,0.09181907,-0.23755592,-0.0113953175,-0.107771,-0.2666031,-0.4739301,-154.6111
17,-0.356901,-0.77880347,-0.41836756,0.16545904,0.37910223,-0.6530975,-0.76462305,0.022158742,-0.8182272,-0.65371144,0.85461295,-0.57522875,-0.91632724,-0.3839122,-0.9528983,0.71077526,0.067512214,-549.4578
18,0.21824138,0.1591363,0.41146946,-0.03887761,0.551133,0.030875303,0.34893343,-0.011098848,0.20024794,-0.32932848,0.09473189,0.0004744812,0.23050441,-0.261025,0.06164112,-0.3721219,-0.44341207,-162.5689
19,0.23888814,0.13346659,0.42769623,-0.06136286,0.5847728,0.028629707,0.3778547,-0.022882087,0.21638003,-0.30987546,0.10380394,-0.051388994,0.20900369,-0.2984872,0.035250448,-0.3788652,-0.4517889,-161.4879
20,0.23890951,0.14037569,0.44671205,-0.07167471,0.59005344,0.02798951,0.39380768,-0.037495088,0.21374087,-0.29782018,0.10065072,-0.04844641,0.19618785,-0.30338925,0.041107118,-0.373118,-0.4473066,-136.9066
21,0.24822713,0.16776468,0.38421905,-0.04930209,0.58641464,0.065326,0.34142238,0.0034157597,0.23663604,-0.4065162,0.13260484,-0.0060956436,0.23805282,-0.21811338,0.031148244,-0.3697353,-0.46834913,-193.2975
22,0.25556454,0.15834412,0.43539813,-0.08356832,0.5958482,0.021763576,0.41751838,-0.006644978,0.22399281,-0.3068299,0.08985799,-0.04874663,0.19376221,-0.307652,0.054342955,-0.37527394,-0.45442483,-141.2354
23,0.25840992,0.15533902,0.41791674,-0.08022905,0.59629923,0.04385534,0.40762487,-0.029603913,0.24296519,-0.3535188,0.111458205,-0.04828506,0.19999433,-0.28525543,0.023400964,-0.38240412,-0.46414456,-166.272
24,0.26044345,0.15587974,0.42745712,-0.075083405,0.6012166,0.04508763,0.40512502,-0.027860334,0.2390939,-0.35318965,0.11196005,-0.045548033,0.19986156,-0.28640273,0.028102065,-0.38164693,-0.466411,-179.48
25,0.252332,0.15524298,0.42910156,-0.072254784,0.5920707,0.039586846,0.39580125,-0.024500925,0.2286442,-0.33537778,0.10755041,-0.040863633,0.20070909,-0.28477514,0.036378656,-0.3760989,-0.4565604,-155.5061
26,0.25152656,0.17832038,0.35259914,-0.02129516,0.6077887,0.09098233,0.26772735,0.05794624,0.23400426,-0.48081747,0.16999461,0.03625559,0.28479898,-0.13999394,0.04040074,-0.3470239,-0.489815,-130.8297
27,0.26389343,0.15941182,0.40445933,-0.07082728,0.59985507,0.05866847,0.38900322,-0.020284811,0.2506449,-0.3859305,0.1260235,-0.042582285,0.20984654,-0.26158667,0.014549912,-0.38273793,-0.47108972,-133.102
28,0.26215824,0.19885285,0.33583724,0.009846462,0.6284361,0.12399412,0.19564292,0.11178696,0.2311733,-0.54888123,0.20674211,0.08119157,0.32765225,-0.058784958,0.056335405,-0.32379535,-0.50675917,-144.2821
29,0.26420364,0.16391706,0.40539518,-0.06645138,0.60197586,0.061383888,0.37683475,-0.008313775,0.24626653,-0.38762623,0.12883122,-0.033695716,0.21545719,-0.24971364,0.023012765,-0.3764469,-0.4700494,-148.2771
30,1,1,-1,-1,1,-1,1,1,1,-1,1,1,-1,1,-1,1,-0.6,
